"TOA5","45735","CR1000X","45735","CR1000X.Std.07.02","CPU:GCF_1_Lorenz.CR1X","26033","low_freq"
"TIMESTAMP","RECORD","BattV_Min","BattV_Avg","PTemp_C_Avg","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","NR01TC_Avg","NR01TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01UpCo_Avg","IR01DnCo_Avg","VWC_1_Avg","EC_1_Avg","T_1_Avg","P_1","PA_1","VR_1","SHF_Avg","TCAV_Avg","AirTC_Avg","RH"
"TS","RN","Volts","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","Deg C","K","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","W/m^2","C","Deg C","%"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Avg","Avg","Avg","Smp"
"2024-04-22 09:59:00",0,13.38,13.38,11.47,589.9,57.43,-25.09,9.42,6.775,279.9,532.4,-34.51,0.097,564.8,66.84,497.9,323,357.6,0.053,0.006,6.31,3.6908,1.2388,1.0079,6.919646,6.202,-78.86,-20.91
"2024-04-22 10:00:00",1,13.37,13.38,11.48,589.4,57.58,-25.2,9.57,6.827,280,531.8,-34.77,0.098,564.2,67.16,497,323.2,358,0.056,0.007,6.313,4.0151,1.2535,1.0085,76.99105,4.219,-78.86,0.788
"2024-04-22 10:01:00",2,13.35,13.36,11.51,580,56.64,-25.37,9.01,6.862,280,523.4,-34.39,0.098,554.6,65.66,489,323.2,357.6,0.058,0.006,6.327,4.1742,1.2603,1.0077,83.68618,5.943,-78.85,0.854
"2024-04-22 10:02:00",3,13.35,13.36,11.53,564.3,54.78,-24.47,8.95,6.893,280,509.5,-33.42,0.097,539.9,63.73,476.1,324.3,357.7,0.056,0.007,6.335,4.0435,1.2546,1.008,77.6883,5.981,-78.87,0.815
"2024-04-22 10:03:00",4,13.34,13.34,11.53,549.7,52.66,-23.88,8.47,6.888,280,497,-32.35,0.096,525.8,61.13,464.7,324.8,357.2,0.06,0.006,6.313,3.6908,1.2388,1.0079,74.59856,6.254,-78.87,0.79
"2024-04-22 10:04:00",5,13.33,13.34,11.48,542.4,51.25,-23.66,8.53,6.873,280,491.1,-32.19,0.095,518.7,59.78,458.9,325,357.2,0.05,0.006,6.282,3.6653,1.2377,1.008,78.23501,6.413,-78.84,0.791
"2024-04-22 10:05:00",6,13.32,13.33,11.45,533.1,50.7,-23.17,9.1,6.898,280,482.4,-32.27,0.095,509.9,59.79,450.1,325.6,357.8,0.05,0.007,6.25,3.7396,1.241,1.0081,74.50652,6.147,-78.84,0.848
"2024-04-22 10:06:00",7,13.31,13.32,11.43,517,50.36,-22.99,9.07,6.941,280.1,466.6,-32.06,0.097,494,59.42,434.6,326,358,0.05,0.006,6.241,3.2532,1.2184,1.0077,77.38996,6.078,-78.86,0.857
"2024-04-22 10:07:00",8,13.31,13.32,11.4,497.2,48.05,-22.87,9.03,6.956,280.1,449.1,-31.9,0.097,474.3,57.08,417.2,326.2,358.1,0.042,0.007,6.236,3.8159,1.2444,1.0079,73.93337,6.216,-47.5,64.35
"2024-04-22 10:08:00",9,13.32,13.32,11.39,490,48.6,-22.56,8.59,6.99,280.1,441.4,-31.14,0.099,467.4,57.18,410.2,326.6,357.8,0.051,0.006,6.239,3.8406,1.2456,1.008,78.29824,6.207,7.301,63.16
"2024-04-22 10:09:00",10,13.32,13.33,11.38,488.9,47.72,-22.93,9.17,7.03,280.2,441.2,-32.09,0.098,466,56.89,409.1,326.5,358.6,0.041,0.007,6.258,3.8133,1.2444,1.0083,83.84489,6.091,"NAN","NAN"
"2024-04-22 10:10:00",11,13.32,13.33,11.4,488.1,48.22,-22.83,8.71,7.08,280.2,439.9,-31.54,0.099,465.3,56.93,408.3,326.8,358.4,0.05,0.006,6.284,3.9436,1.2501,1.0077,87.7983,5.983,"NAN",47.97
"2024-04-22 10:11:00",12,13.32,13.32,11.43,479.2,47.54,-23.03,7.688,7.107,280.3,431.6,-30.72,0.099,456.1,55.23,400.9,326.8,357.5,0.056,0.006,6.297,4.1198,1.258,1.0081,108.3393,6.037,10.02,51.54
"2024-04-22 10:12:00",13,13.31,13.32,11.45,476.8,46.76,-23.02,7.68,7.129,280.3,430,-30.7,0.098,453.7,54.43,399.3,326.9,357.6,0.053,0.006,6.314,4.2493,1.2637,1.0081,139.0855,6.071,9.06,54.22
"2024-04-22 10:13:00",14,13.31,13.32,11.48,484.4,46.7,-23.25,7.958,7.154,280.3,437.7,-31.21,0.096,461.1,54.66,406.5,326.8,358,0.057,0.006,6.326,4.2233,1.2625,1.0081,164.2934,6.023,8.28,58.01
"2024-04-22 10:14:00",15,13.32,13.32,11.52,494.6,47.86,-23.82,7.901,7.188,280.3,446.7,-31.72,0.097,470.7,55.76,415,326.4,358.1,0.066,0.006,6.344,4.568,1.2772,1.0077,168.7474,6.007,7.779,61.02
"2024-04-22 10:15:00",16,13.32,13.32,11.54,499.6,49.08,-23.79,7.746,7.206,280.4,450.6,-31.54,0.098,475.8,56.82,419,326.5,358,0.07,0.007,6.344,4.566,1.2772,1.008,193.4162,6.119,7.434,62.49
"2024-04-22 10:16:00",17,13.32,13.33,11.55,502.5,48.44,-23.7,7.59,7.111,280.3,454.1,-31.29,0.096,478.8,56.03,422.8,326.1,357.4,0.07,0.006,6.362,4.6737,1.2817,1.0079,197.3141,6.198,7.08,62.24
"2024-04-22 10:17:00",18,13.33,13.34,11.56,510.9,48.76,-23.14,7.325,7,280.2,462.2,-30.47,0.095,487.8,56.08,431.7,326.1,356.6,0.067,0.006,6.356,4.592,1.2783,1.0081,201.3306,6.263,6.679,64.47
"2024-04-22 10:18:00",19,13.33,13.34,11.57,520.2,48.96,-22.82,7.605,6.858,280,471.2,-30.43,0.094,497.3,56.56,440.8,325.7,356.2,0.07,0.006,6.347,4.6207,1.2795,1.0078,203.7498,6.32,6.323,66.08
"2024-04-22 10:19:00",20,13.34,13.34,11.58,526.9,50.11,-22.83,7.731,6.761,279.9,476.8,-30.56,0.095,504.1,57.84,446.3,325.2,355.8,0.071,0.006,6.329,4.6187,1.2795,1.0081,201.0938,6.375,6.042,66.54
"2024-04-22 10:20:00",21,13.33,13.34,11.59,532.7,50.81,-23.31,7.788,6.687,279.8,481.9,-31.1,0.095,509.4,58.59,450.8,324.4,355.5,0.071,0.006,6.301,4.6485,1.2806,1.0076,202.9927,6.421,5.856,66.51
"2024-04-22 10:21:00",22,13.32,13.33,11.6,521.8,50.53,-22.92,7.948,6.685,279.8,471.3,-30.87,0.097,498.9,58.47,440.4,324.8,355.6,0.071,0.006,6.302,4.6455,1.2806,1.0081,205.6875,6.464,5.716,67.87
"2024-04-22 10:22:00",23,13.3,13.31,11.61,500.7,48.84,-22.53,7.861,6.695,279.8,451.8,-30.39,0.098,478.1,56.7,421.4,325.2,355.6,0.072,0.007,6.299,4.672,1.2817,1.0082,205.6159,6.499,5.659,68.56
"2024-04-22 10:23:00",24,13.29,13.3,11.61,486.7,47.69,-21.63,8.01,6.683,279.8,439,-29.64,0.098,465,55.7,409.3,326.1,355.7,0.072,0.007,6.296,4.6452,1.2806,1.0082,213.9758,6.533,5.66,70.01
"2024-04-22 10:24:00",25,13.29,13.3,11.62,488.2,47.29,-21.47,7.7,6.628,279.8,441,-29.17,0.097,466.8,54.99,411.8,325.9,355.1,0.071,0.007,6.3,4.6211,1.2795,1.0077,219.597,6.562,5.631,70.35
"2024-04-22 10:25:00",26,13.29,13.3,11.62,502.6,48.44,-21.66,7.931,6.593,279.7,454.2,-29.59,0.096,481,56.37,424.6,325.6,355.2,0.071,0.007,6.3,4.6435,1.2806,1.0085,228.9729,6.589,5.574,71.33
"2024-04-22 10:26:00",27,13.3,13.31,11.62,515.3,50.1,-21.56,8.3,6.584,279.7,465.2,-29.86,0.097,493.8,58.4,435.4,325.6,355.5,0.071,0.006,6.278,4.6468,1.2806,1.0079,243.9422,6.615,5.564,70.05
"2024-04-22 10:27:00",28,13.3,13.31,11.62,514.3,50.11,-21.14,8.54,6.564,279.7,464.2,-29.68,0.097,493.2,58.66,434.5,326,355.6,0.071,0.007,6.259,4.6488,1.2806,1.0076,258.4832,6.637,5.666,70.72
"2024-04-22 10:28:00",29,13.3,13.31,11.62,498.4,48.9,-20.94,8.62,6.557,279.7,449.5,-29.56,0.098,477.5,57.51,420,326.1,355.7,0.072,0.007,6.248,4.6733,1.2817,1.008,272.3365,6.655,5.692,70.27
"2024-04-22 10:29:00",30,13.3,13.31,11.62,478.5,46.77,-20.57,8.37,6.549,279.7,431.7,-28.94,0.098,457.9,55.14,402.7,326.4,355.4,0.071,0.007,6.251,4.6465,1.2806,1.008,290.3032,6.67,5.684,71.87
"2024-04-22 10:30:00",31,13.3,13.32,11.62,475,46.67,-20.62,8.72,6.57,279.7,428.4,-29.34,0.098,454.4,55.39,399,326.5,355.8,0.072,0.007,6.24,4.6468,1.2806,1.0079,300.3499,6.686,5.669,72.47
"2024-04-22 10:31:00",32,13.32,13.32,11.62,480.4,47.11,-20.95,8.89,6.591,279.7,433.3,-29.84,0.098,459.4,56,403.4,326.3,356.1,0.071,0.007,6.232,4.6455,1.2806,1.0081,311.8441,6.696,5.749,70.99
