file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--
TOA5_45736.high_freq_2024_06_04_1330.dat,2024-06-04,14:00,156.5832,1,36000,36000,-0.333754E-01,0,18.8080,1,88.5360,0,-8.02042,0,1.98528,0,-9999,-9999,-9999,-9999,0.242753E-09,0.604856E-11,13.3591,407.279,410.976,0.250000,0,332.862,10.1480,10.2520,0.00000,0,284.745,283.830,77651.6,0.949488,1010.82,0.304870E-01,0.128646,0.599817E-02,785.679,1280.97,0.631727E-02,61.3347,495.292,276.662,-0.797481,-2.39305,0.218386E-01,2.52252,-0.224965E-12,0.181714E-13,2.52252,5.12708,152.335,251.569,0.496042,-9999,0.187486,0.495870,-25.5123,-0.782563E-01,0.212434,-0.104523,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.330670E-01,1.00933,23.3069,1.01860,80.3721,1.07768,-9.04618,1.07768,1.80221,1.07768,800000099,800000099,800000099,800001199,800001199,800001199,899999999,899999999,89999,89999,89,89,3,17,3,23,68,32,0.486107,0.441705,0.639274E-01,0.771854,0.118588,342.862,0.242840E-01,-0.904618E-02,1.80221,284.435,78066.5
TOA5_45736.high_freq_2024_06_04_1400.dat,2024-06-04,14:30,156.6040,1,36000,36000,-0.520973E-01,0,84.0352,0,150.186,0,-8.91173,0,3.36785,0,0.595016E-01,1.06850,-0.281141E-01,0.239606E-01,-0.138706E-10,-0.368363E-12,13.3288,406.519,410.239,0.00000,0,353.974,10.7959,10.9138,0.00000,0,284.858,283.885,77651.6,0.949074,1011.18,0.304992E-01,0.218237,0.637861E-02,835.672,1285.64,0.672088E-02,65.0007,449.964,277.540,-1.00955,-3.09618,0.160493E-01,3.25665,0.110393E-12,-0.104065E-14,3.25665,5.69026,153.386,251.941,0.282364,-9999,0.234292,0.527388,-11.1441,-0.179153,0.559542,-0.373746,0,35.2543,-5.34997,12.1017,30.1348,45.9575,64.4561,96.5669,-0.515990E-01,1.00966,90.4731,1.02025,131.327,1.09422,-13.1489,1.09422,2.94496,1.09422,800000099,800000099,800000099,800000099,800000099,800010199,899999999,899999999,89999,89999,89,89,12,4,1,13,19,31,0.364256,0.600288,0.902319E-01,1.04774,0.205609E-01,427.926,0.942740E-01,-0.131489E-01,2.94496,285.381,78062.0
TOA5_45736.high_freq_2024_06_04_1430.dat,2024-06-04,15:00,156.6249,1,36000,36000,-0.542296E-01,0,20.8340,0,80.2969,0,-3.04517,0,1.79926,0,-0.855151,-0.143700,-0.315445E-01,-0.321997E-02,0.653488E-10,0.172512E-11,13.3383,405.668,409.333,0.00000,0,352.114,10.7091,10.8250,0.00000,0,284.060,283.097,77651.6,0.951746,1011.12,0.304137E-01,0.116592,0.634510E-02,828.974,1219.72,0.666679E-02,67.9642,390.748,277.425,-0.628834,-3.26945,0.487021E-01,3.32973,0.498842E-13,0.489933E-14,3.32973,5.75916,145.779,259.113,0.838063,-9999,0.238703,0.425317,-47.5360,-0.419997E-01,0.259462,-0.906970E-01,0,35.5254,-5.39112,12.1947,30.3666,46.3110,64.9518,97.3097,-0.537081E-01,1.00971,24.7236,1.02044,71.3955,1.09584,-4.37360,1.09584,1.59981,1.09584,800000099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,89999,89999,89,89,13,4,0,32,38,30,0.444852,0.313898,0.918843E-01,0.596974,0.567142E-02,183.423,0.256916E-01,-0.437360E-02,1.59981,283.842,78049.1
TOA5_45736.high_freq_2024_06_04_1500.dat,2024-06-04,15:30,156.6457,1,36000,36000,-0.319278E-01,0,-8.90153,2,51.0914,0,1.02349,0,1.14437,0,-0.466712,-1.72130,-0.273113,-0.385546E-01,-0.136138E-09,-0.330549E-11,13.1208,398.317,401.401,0.00000,0,318.580,9.67133,9.76578,0.00000,0,283.536,282.668,77651.6,0.953563,1010.54,0.303576E-01,0.741551E-01,0.574082E-02,748.890,1185.11,0.602038E-02,63.1916,436.220,275.985,-0.491058,-3.65439,0.373270E-01,3.68742,-0.120986E-13,-0.103757E-13,3.68742,6.67379,142.734,262.347,0.580003,-9999,0.182983,0.390484,50.1081,0.398439E-01,-0.174227,0.504839E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.315783E-01,1.01107,-6.04241,1.02464,45.1607,1.13071,0.882438,1.13071,1.01153,1.13071,800000099,800000099,800000099,800001099,800000099,800000099,899999999,899999999,89999,89999,89,89,13,7,1,3,26,20,0.418940,0.285668,0.763590E-01,0.450154,0.232820E-01,260.419,-0.627058E-02,0.882438E-03,1.01153,282.424,78051.6
TOA5_45736.high_freq_2024_06_04_1530.dat,2024-06-04,16:00,156.6665,1,36000,36000,-0.408139E-01,1,15.2607,0,75.9499,0,-1.73789,1,1.70185,0,0.461355,2.51089,0.239170,0.562629E-01,-0.800867E-10,-0.221379E-11,13.3069,404.767,408.094,0.00000,0,367.835,11.1888,11.3154,0.00000,0,284.099,283.093,77651.6,0.951590,1011.38,0.304179E-01,0.110280,0.662839E-02,865.971,1219.34,0.696559E-02,71.0198,353.366,278.049,-0.772618,-2.57786,0.802617E-02,2.69116,-0.355222E-12,-0.601844E-14,2.69116,5.57427,154.333,253.316,0.170880,-9999,0.207099,0.705727,-42.3857,-0.471032E-01,0.200932,-0.765654E-01,0,35.5045,-5.38794,12.1875,30.3487,46.2836,64.9135,97.2522,-0.404353E-01,1.00936,19.1036,1.01894,68.5926,1.08151,-2.93088,1.08151,1.53699,1.08151,800000099,800000099,800000099,800001099,800001099,800011099,899999999,899999999,89999,89999,89,89,18,9,1,21,42,23,0.696907,0.645281,0.692669E-01,0.543472,0.112163E-01,296.568,0.198496E-01,-0.293088E-02,1.53699,283.465,78048.7
TOA5_45736.high_freq_2024_06_04_1600.dat,2024-06-04,16:30,156.6873,1,36000,36000,-0.600725E-01,1,-6.26664,2,109.128,0,-0.836104,2,2.44451,0,-0.370978,0.216703,-0.204336,0.485420E-02,0.143717E-09,0.407452E-11,13.1412,399.263,402.429,0.500000E-01,0,372.568,11.3195,11.4491,0.00000,0,283.768,282.752,77651.6,0.952692,1011.45,0.303824E-01,0.158404,0.671367E-02,876.055,1191.72,0.704706E-02,73.5121,315.660,278.215,0.793799,-1.78618,-0.654089E-01,1.95572,0.390557E-12,0.109363E-13,1.95572,6.48114,115.960,293.961,-1.91661,-9999,0.251109,1.58070,183.999,0.108506E-01,-0.574245E-01,0.258987E-01,0,32.5417,-4.93832,11.1705,27.8161,42.4214,59.4966,89.1367,-0.595714E-01,1.00841,-0.179083,1.01757,101.208,1.06987,-1.40814,1.06987,2.26709,1.06987,800000099,800000099,800000099,800001199,800000099,800000099,899999999,899999999,89999,89999,89,89,1,2,3,20,306,46,1.77570,1.25908,0.126619,0.178818,0.860911E-01,1716.52,-0.185849E-03,-0.140814E-02,2.26709,282.243,78063.5
TOA5_45736.high_freq_2024_06_04_1630.dat,2024-06-04,17:00,156.7082,1,36000,36000,-0.100575,0,-9.73031,1,101.706,0,-3.06670,0,2.27731,0,-0.462625,-0.562737,-0.623443E-01,-0.126003E-01,-0.152531E-10,-0.421265E-12,13.1072,397.586,400.720,0.00000,0,361.997,10.9806,11.1025,0.00000,0,283.311,282.327,77651.6,0.954248,1011.25,0.303335E-01,0.147569,0.652318E-02,849.919,1158.12,0.683594E-02,73.3880,308.198,277.781,1.55024,-1.89025,-0.519879E-01,2.44520,-0.859743E-13,-0.116373E-14,2.44520,6.40014,95.2806,309.356,-1.21827,-9999,0.324650,0.973423,256.067,0.779678E-02,-0.956712E-01,0.310593E-01,0,36.6133,-5.55620,12.5681,31.2965,47.7291,66.9407,100.289,-0.997087E-01,1.00869,-4.06238,1.01876,93.3401,1.08389,-3.23006,1.08389,2.08999,1.08389,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,0,11,1,19,128,6,0.657812,1.13141,0.157619,0.350251E-01,0.185045E-02,286.340,-0.420978E-02,-0.323006E-02,2.08999,281.703,78077.8
TOA5_45736.high_freq_2024_06_04_1700.dat,2024-06-04,17:30,156.7290,1,36000,36000,-0.349090E-01,1,-6.13038,0,49.3639,0,-1.27818,0,1.10506,0,-0.258957,-0.593953,-0.767128E-01,-0.132963E-01,0.169773E-10,0.455992E-12,13.0517,395.525,398.876,0.00000,0,350.554,10.6234,10.7374,0.00000,0,283.040,282.089,77651.6,0.955180,1011.05,0.303045E-01,0.716081E-01,0.631698E-02,822.360,1139.70,0.661339E-02,72.1559,317.338,277.311,-0.434633E-01,-2.57461,0.516708E-02,2.57498,-0.190289E-12,0.130078E-14,2.57498,5.08243,132.011,269.033,0.114972,-9999,0.191173,0.816218,82.9851,0.240585E-01,-0.124187,0.332049E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.345912E-01,1.00919,-3.36821,1.01996,45.0717,1.09145,-1.30117,1.09145,1.00898,1.09145,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,24,1,2,2,23,5,1.03774,0.546921,0.477702E-01,0.226812,0.147488E-02,188.020,-0.348772E-02,-0.130117E-02,1.00898,281.965,78087.3
TOA5_45736.high_freq_2024_06_04_1730.dat,2024-06-04,18:00,156.7498,1,36000,36000,-0.345532E-01,1,-10.9826,0,37.7893,0,1.04965,2,0.845792,0,-0.218346,0.271961,0.239072,0.608696E-02,-0.138404E-09,-0.371429E-11,13.2722,401.944,405.443,0.250000,0,356.182,10.7868,10.9044,0.00000,0,282.854,281.889,77651.6,0.955800,1011.14,0.302846E-01,0.548073E-01,0.641839E-02,834.969,1124.36,0.671520E-02,74.2618,289.390,277.528,0.142262,-3.00730,-0.204812E-01,3.01073,0.481390E-13,-0.104281E-13,3.01073,5.66521,132.145,272.708,-0.389771,-9999,0.190134,0.418252,45.5716,0.438101E-01,-0.290628,0.597680E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.341919E-01,1.01057,-8.75518,1.02318,34.1429,1.11369,1.11866,1.11369,0.764179,1.11369,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,20,2,2,7,22,5,0.580241,0.207759,0.485034E-01,0.127742,0.100883E-01,126.256,-0.905916E-02,0.111866E-02,0.764179,281.615,78076.4
